Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
octmnist,28,BioMedCLIP,concat,0,1,0.818,0.909,0.593,0.896
octmnist,28,rad-dino,concat,0,1,0.806,0.902,0.589,0.892
octmnist,28,PubMedCLIP,concat,0,1,0.813,0.910,0.544,0.901
octmnist,28,"BioMedCLIP,rad-dino",concat,0,1,0.839,0.923,0.617,0.916
octmnist,28,"BioMedCLIP,PubMedCLIP",concat,0,1,0.839,0.923,0.606,0.915
octmnist,28,"rad-dino,PubMedCLIP",concat,0,1,0.831,0.923,0.599,0.913
octmnist,28,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.850,0.931,0.627,0.921
octmnist,28,CONCH,concat,0,1,0.799,0.900,0.583,0.903
octmnist,28,Prov-GigaPath,concat,0,1,0.835,0.925,0.562,0.908
octmnist,28,Hibou-B,concat,0,1,0.801,0.904,0.542,0.887
octmnist,28,UNI,concat,0,1,0.807,0.907,0.586,0.891
octmnist,28,"BioMedCLIP,UNI",concat,0,1,0.831,0.923,0.614,0.913
octmnist,28,"rad-dino,UNI",concat,0,1,0.828,0.921,0.611,0.910
octmnist,28,"PubMedCLIP,UNI",concat,0,1,0.832,0.921,0.596,0.911
octmnist,28,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.847,0.930,0.647,0.920
octmnist,28,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.844,0.929,0.633,0.917
octmnist,28,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.840,0.929,0.612,0.916
octmnist,28,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.853,0.933,0.643,0.924
