Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
pneumoniamnist,28,BioMedCLIP,concat,0,1,0.941,0.982,0.872,0.960
pneumoniamnist,28,rad-dino,concat,0,1,0.939,0.985,0.893,0.974
pneumoniamnist,28,PubMedCLIP,concat,0,1,0.910,0.964,0.819,0.939
pneumoniamnist,28,"BioMedCLIP,rad-dino",concat,0,1,0.960,0.990,0.888,0.976
pneumoniamnist,28,"BioMedCLIP,PubMedCLIP",concat,0,1,0.945,0.985,0.864,0.964
pneumoniamnist,28,"rad-dino,PubMedCLIP",concat,0,1,0.950,0.986,0.880,0.976
pneumoniamnist,28,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.960,0.989,0.878,0.975
pneumoniamnist,28,CONCH,concat,0,1,0.935,0.978,0.840,0.946
pneumoniamnist,28,Prov-GigaPath,concat,0,1,0.945,0.985,0.856,0.960
pneumoniamnist,28,Hibou-B,concat,0,1,0.939,0.979,0.854,0.949
pneumoniamnist,28,UNI,concat,0,1,0.931,0.978,0.822,0.948
pneumoniamnist,28,"BioMedCLIP,UNI",concat,0,1,0.952,0.987,0.851,0.967
pneumoniamnist,28,"rad-dino,UNI",concat,0,1,0.954,0.990,0.881,0.976
pneumoniamnist,28,"PubMedCLIP,UNI",concat,0,1,0.931,0.978,0.837,0.955
pneumoniamnist,28,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.962,0.992,0.883,0.977
pneumoniamnist,28,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.948,0.988,0.857,0.966
pneumoniamnist,28,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.954,0.991,0.877,0.975
pneumoniamnist,28,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.966,0.990,0.886,0.977
pneumoniamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",concat,1024,100,0.956,0.990,0.897,0.977
pneumoniamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",concat,2048,100,0.966,0.991,0.885,0.977
pneumoniamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",ifusion,1024,100,0.960,0.991,0.891,0.979
pneumoniamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",ifusion,2048,100,0.966,0.993,0.878,0.978
pneumoniamnist,28,"rad-dino,PubMedCLIP,BioMedCLIP",concat,1024,90,0.956,0.990,0.880,0.974
pneumoniamnist,28,"rad-dino,PubMedCLIP,BioMedCLIP",concat,2048,100,0.960,0.991,0.880,0.972
pneumoniamnist,28,"rad-dino,PubMedCLIP,BioMedCLIP",ifusion,1024,71,0.958,0.986,0.886,0.974
pneumoniamnist,28,"rad-dino,PubMedCLIP,BioMedCLIP",ifusion,2048,93,0.956,0.989,0.880,0.975
pneumoniamnist,28,"Prov-GigaPath,CONCH,UNI,Hibou-B",concat,1024,93,0.962,0.990,0.851,0.967
pneumoniamnist,28,"Prov-GigaPath,CONCH,UNI,Hibou-B",concat,2048,100,0.950,0.989,0.843,0.964
pneumoniamnist,28,"Prov-GigaPath,CONCH,UNI,Hibou-B",ifusion,1024,93,0.960,0.992,0.851,0.967
pneumoniamnist,28,"Prov-GigaPath,CONCH,UNI,Hibou-B",ifusion,2048,100,0.962,0.991,0.854,0.968
pneumoniamnist,28,"rad-dino,PubMedCLIP,UNI",concat,1024,79,0.954,0.987,0.872,0.973
pneumoniamnist,28,"rad-dino,PubMedCLIP,UNI",concat,2048,51,0.950,0.989,0.878,0.973
pneumoniamnist,28,"rad-dino,PubMedCLIP,UNI",ifusion,1024,100,0.964,0.992,0.883,0.974
pneumoniamnist,28,"rad-dino,PubMedCLIP,UNI",ifusion,2048,54,0.950,0.988,0.885,0.973
