Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
organamnist,28,BioMedCLIP,concat,0,1,0.915,0.996,0.813,0.982
organamnist,28,rad-dino,concat,0,1,0.899,0.995,0.810,0.975
organamnist,28,PubMedCLIP,concat,0,1,0.915,0.997,0.839,0.986
organamnist,28,"BioMedCLIP,rad-dino",concat,0,1,0.935,0.998,0.856,0.987
organamnist,28,"BioMedCLIP,PubMedCLIP",concat,0,1,0.939,0.998,0.857,0.989
organamnist,28,"rad-dino,PubMedCLIP",concat,0,1,0.936,0.998,0.863,0.987
organamnist,28,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.947,0.999,0.872,0.990
organamnist,28,CONCH,concat,0,1,0.826,0.988,0.736,0.970
organamnist,28,Prov-GigaPath,concat,0,1,0.915,0.997,0.822,0.983
organamnist,28,Hibou-B,concat,0,1,0.898,0.995,0.812,0.980
organamnist,28,UNI,concat,0,1,0.879,0.993,0.805,0.978
organamnist,28,"BioMedCLIP,UNI",concat,0,1,0.930,0.997,0.847,0.987
organamnist,28,"rad-dino,UNI",concat,0,1,0.925,0.997,0.850,0.984
organamnist,28,"PubMedCLIP,UNI",concat,0,1,0.932,0.998,0.851,0.988
organamnist,28,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.941,0.998,0.869,0.989
organamnist,28,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.946,0.999,0.865,0.990
organamnist,28,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.940,0.998,0.870,0.988
organamnist,28,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.948,0.999,0.876,0.991
