Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
retinamnist,28,BioMedCLIP,concat,0,1,0.492,0.736,0.487,0.731
retinamnist,28,rad-dino,concat,0,1,0.450,0.640,0.522,0.681
retinamnist,28,PubMedCLIP,concat,0,1,0.550,0.785,0.520,0.739
retinamnist,28,"BioMedCLIP,rad-dino",concat,0,1,0.533,0.762,0.532,0.731
retinamnist,28,"BioMedCLIP,PubMedCLIP",concat,0,1,0.517,0.783,0.507,0.742
retinamnist,28,"rad-dino,PubMedCLIP",concat,0,1,0.550,0.802,0.517,0.744
retinamnist,28,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.525,0.797,0.520,0.755
retinamnist,28,CONCH,concat,0,1,0.508,0.740,0.502,0.710
retinamnist,28,Prov-GigaPath,concat,0,1,0.492,0.759,0.545,0.756
retinamnist,28,Hibou-B,concat,0,1,0.542,0.759,0.497,0.733
retinamnist,28,UNI,concat,0,1,0.508,0.791,0.512,0.728
retinamnist,28,"BioMedCLIP,UNI",concat,0,1,0.525,0.776,0.520,0.738
retinamnist,28,"rad-dino,UNI",concat,0,1,0.525,0.799,0.547,0.738
retinamnist,28,"PubMedCLIP,UNI",concat,0,1,0.542,0.808,0.540,0.727
retinamnist,28,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.500,0.778,0.525,0.743
retinamnist,28,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.542,0.786,0.532,0.740
retinamnist,28,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.525,0.795,0.517,0.727
retinamnist,28,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.533,0.802,0.540,0.732
retinamnist,28,BioMedCLIP,concat,512,35,0.508,0.749,0.500,0.717
retinamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI",concat,0,1,0.475,0.769,0.517,0.754
retinamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",concat,1024,84,0.542,0.772,0.550,0.772
retinamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",concat,2048,75,0.533,0.795,0.550,0.773
retinamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",ifusion,1024,58,0.533,0.786,0.527,0.770
retinamnist,28,"PubMedCLIP,Prov-GigaPath,Hibou-B,CONCH,UNI,BioMedCLIP,rad-dino",ifusion,2048,57,0.517,0.787,0.542,0.778
retinamnist,28,"rad-dino,PubMedCLIP,BioMedCLIP",concat,1024,69,0.542,0.796,0.540,0.752
retinamnist,28,"rad-dino,PubMedCLIP,BioMedCLIP",concat,2048,48,0.558,0.778,0.520,0.749
retinamnist,28,"rad-dino,PubMedCLIP,BioMedCLIP",ifusion,1024,46,0.592,0.807,0.537,0.752
retinamnist,28,"rad-dino,PubMedCLIP,BioMedCLIP",ifusion,2048,77,0.575,0.787,0.522,0.748
retinamnist,28,"Prov-GigaPath,CONCH,UNI,Hibou-B",concat,1024,51,0.450,0.740,0.512,0.776
retinamnist,28,"Prov-GigaPath,CONCH,UNI,Hibou-B",concat,2048,57,0.492,0.739,0.542,0.764
retinamnist,28,"Prov-GigaPath,CONCH,UNI,Hibou-B",ifusion,1024,65,0.492,0.759,0.517,0.761
retinamnist,28,"Prov-GigaPath,CONCH,UNI,Hibou-B",ifusion,2048,66,0.508,0.767,0.537,0.756
retinamnist,28,"rad-dino,PubMedCLIP,UNI",concat,1024,68,0.542,0.779,0.540,0.755
retinamnist,28,"rad-dino,PubMedCLIP,UNI",concat,2048,82,0.542,0.796,0.555,0.766
retinamnist,28,"rad-dino,PubMedCLIP,UNI",ifusion,1024,46,0.583,0.805,0.527,0.761
retinamnist,28,"rad-dino,PubMedCLIP,UNI",ifusion,2048,49,0.550,0.797,0.562,0.762
