Dataset,Image Size,Models,Fusion Method,Projection Dim,Epochs,Val Accuracy,Val AUC-ROC,Test Accuracy,Test AUC-ROC
breastmnist,224,BioMedCLIP,concat,0,1,0.897,0.905,0.872,0.895
breastmnist,224,rad-dino,concat,0,1,0.885,0.931,0.821,0.895
breastmnist,224,PubMedCLIP,concat,0,1,0.897,0.921,0.840,0.869
breastmnist,224,"BioMedCLIP,rad-dino",concat,0,1,0.872,0.931,0.891,0.901
breastmnist,224,"BioMedCLIP,PubMedCLIP",concat,0,1,0.910,0.928,0.865,0.921
breastmnist,224,"rad-dino,PubMedCLIP",concat,0,1,0.885,0.946,0.833,0.865
breastmnist,224,"BioMedCLIP,rad-dino,PubMedCLIP",concat,0,1,0.936,0.937,0.885,0.924
breastmnist,224,UNI,concat,0,1,0.923,0.984,0.859,0.883
breastmnist,224,"BioMedCLIP,UNI",concat,0,1,0.910,0.938,0.897,0.935
breastmnist,224,"rad-dino,UNI",concat,0,1,0.897,0.956,0.904,0.903
breastmnist,224,"PubMedCLIP,UNI",concat,0,1,0.859,0.934,0.859,0.882
breastmnist,224,"BioMedCLIP,rad-dino,UNI",concat,0,1,0.897,0.946,0.885,0.928
breastmnist,224,"BioMedCLIP,PubMedCLIP,UNI",concat,0,1,0.923,0.941,0.885,0.926
breastmnist,224,"rad-dino,PubMedCLIP,UNI",concat,0,1,0.885,0.946,0.859,0.878
breastmnist,224,"BioMedCLIP,rad-dino,PubMedCLIP,UNI",concat,0,1,0.897,0.942,0.897,0.921
